region,deal_size,converted
A,smb,0
C,smb,0
C,smb,0
C,smb,0
B,enterprise,0
B,enterprise,1
B,enterprise,1
C,smb,0
A,smb,0
B,enterprise,0
C,smb,1
C,smb,1
C,smb,0
B,enterprise,0
B,enterprise,0
B,enterprise,0
A,enterprise,0
A,smb,0
B,enterprise,0
A,smb,0
A,smb,0
B,enterprise,0
A,smb,0
B,enterprise,0
C,smb,0
C,smb,0
C,smb,0
C,smb,0
A,smb,0
A,smb,0
B,enterprise,0
C,smb,0
C,smb,0
B,enterprise,0
A,smb,0
A,smb,0
C,smb,0
C,smb,1
C,enterprise,0
C,smb,1
C,enterprise,1
C,smb,1
C,smb,1
A,smb,0
C,smb,0
B,smb,0
C,enterprise,1
C,smb,0
A,smb,0
C,enterprise,0
B,enterprise,0
A,smb,0
C,enterprise,0
A,smb,0
A,smb,0
C,smb,0
A,enterprise,0
C,smb,0
B,enterprise,0
A,smb,0
B,enterprise,0
B,enterprise,0
A,smb,0
B,enterprise,0
C,smb,0
C,smb,1
A,smb,0
B,enterprise,0
A,smb,1
C,smb,0
A,smb,0
B,enterprise,0
C,smb,0
A,smb,0
B,enterprise,0
B,enterprise,0
C,enterprise,0
A,enterprise,0
A,smb,0
A,smb,1
A,smb,0
C,smb,1
B,smb,0
B,enterprise,0
B,enterprise,0
B,smb,0
A,enterprise,0
A,smb,0
A,smb,1
C,smb,0
A,smb,1
C,smb,0
A,smb,0
C,smb,1
A,smb,0
A,smb,0
C,smb,0
C,smb,1
B,enterprise,0
B,enterprise,0
A,smb,1
C,smb,0
C,smb,0
B,enterprise,0
B,smb,1
B,enterprise,0
A,smb,1
A,smb,0
B,enterprise,0
A,smb,0
C,smb,0
B,enterprise,0
A,smb,1
A,enterprise,0
A,smb,0
C,smb,1
A,enterprise,0
C,smb,0
B,enterprise,0
A,enterprise,1
A,smb,0
B,enterprise,0
B,enterprise,0
C,smb,0
C,smb,0
A,enterprise,0
A,smb,0
B,enterprise,0
B,enterprise,0
A,enterprise,0
C,smb,0
A,smb,0
B,enterprise,0
C,enterprise,0
B,enterprise,1
C,smb,0
A,smb,0
B,enterprise,0
B,enterprise,1
A,smb,0
B,smb,0
C,smb,0
B,enterprise,0
A,smb,0
A,enterprise,0
B,enterprise,0
C,enterprise,0
B,enterprise,1
B,enterprise,0
A,smb,1
C,smb,0
B,enterprise,0
A,smb,0
A,smb,0
C,smb,0
C,smb,0
A,smb,0
B,enterprise,0
B,enterprise,0
A,enterprise,0
B,enterprise,0
C,enterprise,0
A,enterprise,0
C,smb,0
A,enterprise,0
A,smb,1
A,smb,0
C,smb,0
B,enterprise,1
C,smb,0
A,smb,0
C,smb,0
A,smb,0
B,enterprise,0
A,smb,1
A,smb,0
A,smb,0
C,smb,0
A,enterprise,0
B,enterprise,0
A,smb,0
C,smb,0
C,smb,0
C,smb,0
C,smb,0
C,enterprise,0
B,enterprise,0
B,enterprise,0
A,smb,1
C,enterprise,0
A,smb,1
C,smb,0
C,smb,0
C,enterprise,0
C,smb,0
B,smb,0
B,enterprise,0
A,smb,1
A,smb,0
B,enterprise,0
C,smb,0
C,smb,0
A,smb,0
B,smb,0
A,smb,0
B,smb,0
A,smb,0
A,smb,1
B,enterprise,0
A,smb,0
B,enterprise,0
A,smb,0
A,smb,0
C,enterprise,0
B,enterprise,0
B,enterprise,0
B,enterprise,0
A,smb,0
B,smb,0
C,enterprise,0
C,smb,0
A,smb,0
B,smb,0
B,smb,0
C,enterprise,0
C,enterprise,0
B,enterprise,0
C,smb,0
A,smb,0
B,enterprise,0
C,smb,1
C,smb,0
B,enterprise,0
B,smb,1
A,smb,1
C,enterprise,0
B,enterprise,1
C,enterprise,0
B,enterprise,0
C,enterprise,0
C,smb,0
A,smb,0
B,enterprise,0
A,smb,0
B,enterprise,0
C,enterprise,0
A,smb,0
B,enterprise,0
B,enterprise,0
C,smb,0
B,enterprise,0
B,enterprise,1
A,smb,0
A,smb,1
C,smb,0
C,smb,0
A,smb,0
B,enterprise,0
A,smb,1
B,enterprise,0
A,smb,1
B,enterprise,0
C,smb,0
C,enterprise,1
A,smb,0
C,smb,0
B,enterprise,0
C,enterprise,0
B,enterprise,0
C,enterprise,0
C,smb,1
C,smb,0
A,smb,0
A,smb,0
C,smb,0
C,enterprise,0
A,smb,0
C,smb,0
A,smb,1
C,smb,0
A,smb,0
A,enterprise,0
C,enterprise,0
A,smb,0
C,smb,1
B,enterprise,0
C,smb,0
A,smb,0
C,enterprise,0
A,enterprise,0
A,smb,0
B,smb,0
C,smb,0
A,smb,0
B,enterprise,0
B,enterprise,0
C,smb,0
B,enterprise,0
A,smb,1
B,enterprise,0
B,enterprise,0
A,smb,0
A,enterprise,0
C,enterprise,0
A,smb,1
C,smb,0
C,enterprise,0
C,smb,0
C,smb,0
A,smb,0
A,smb,0
B,enterprise,0
C,enterprise,0
B,smb,0
C,smb,0
A,enterprise,0
A,smb,0
B,enterprise,0
B,enterprise,0
B,enterprise,0
B,enterprise,0
C,enterprise,1
C,enterprise,0
C,enterprise,0
C,smb,0
A,enterprise,0
C,smb,0
A,smb,0
A,smb,0
C,enterprise,0
C,smb,0
B,enterprise,0
B,enterprise,0
B,enterprise,0
A,enterprise,0
C,smb,0
A,smb,1
C,smb,0
A,smb,1
C,enterprise,0
A,smb,0
C,smb,0
C,smb,0
C,smb,0
C,smb,0
B,enterprise,0
A,enterprise,1
B,enterprise,0
C,smb,1
B,enterprise,0
A,smb,0
B,enterprise,0
C,smb,0
A,enterprise,0
B,enterprise,0
B,enterprise,0
A,smb,0
C,smb,0
C,smb,0
C,smb,0
B,enterprise,1
C,smb,1
B,enterprise,0
A,smb,1
B,enterprise,0
A,enterprise,0
A,smb,0
B,enterprise,0
C,smb,0
C,smb,1
A,smb,0
C,smb,0
B,enterprise,0
B,enterprise,0
A,smb,0
C,smb,0
A,smb,0
C,smb,0
B,enterprise,0
B,enterprise,0
B,enterprise,0
A,smb,0
A,smb,0
A,enterprise,0
B,enterprise,0
C,smb,0
C,enterprise,0
C,smb,0
B,enterprise,1
A,smb,1
C,enterprise,1
C,enterprise,0
A,smb,0
C,smb,0
A,smb,0
A,smb,1
C,enterprise,0
C,smb,0
A,smb,0
A,enterprise,0
A,smb,0
C,enterprise,0
B,enterprise,0
B,enterprise,1
C,smb,0
A,smb,0
A,smb,0
C,smb,0
C,smb,0
B,enterprise,0
A,enterprise,0
C,enterprise,0
A,smb,0
B,enterprise,0
B,enterprise,0
C,smb,1
A,enterprise,0
B,enterprise,1
C,smb,0
A,smb,0
C,smb,0
B,enterprise,0
C,enterprise,0
B,enterprise,1
B,enterprise,0
A,smb,0
C,smb,0
B,smb,1
B,enterprise,0
C,smb,1
A,smb,0
A,smb,1
C,enterprise,0
A,smb,0
B,enterprise,0
C,smb,0
A,smb,0
C,enterprise,0
C,enterprise,1
A,smb,0
A,smb,0
C,smb,0
C,smb,0
C,smb,0
C,enterprise,0
A,smb,0
C,smb,0
C,smb,0
B,enterprise,0
B,enterprise,0
B,smb,0
B,enterprise,0
B,enterprise,0
B,enterprise,0
B,smb,1
C,smb,0
A,smb,0
B,enterprise,0
A,smb,1
C,smb,0
B,enterprise,0
B,smb,0
A,smb,0
A,smb,0
C,smb,0
B,enterprise,0
B,enterprise,0
C,smb,0
A,smb,0
A,smb,0
C,enterprise,0
B,enterprise,0
C,smb,0
B,enterprise,0
A,enterprise,0
B,enterprise,0
C,smb,0
C,smb,1
C,smb,0
A,smb,0
B,smb,0
B,enterprise,0
B,smb,0
A,smb,0
B,smb,0
B,enterprise,0
A,smb,0
A,smb,0
A,smb,1
B,enterprise,0
C,enterprise,0
C,smb,0
A,smb,1
C,smb,0
A,smb,0
C,smb,1
C,smb,0
C,smb,0
B,enterprise,0
B,enterprise,0
C,smb,0
B,enterprise,0
B,enterprise,0
B,enterprise,0
B,enterprise,0
A,smb,0
B,enterprise,0
C,enterprise,0
B,enterprise,0
C,smb,0
B,enterprise,0
A,smb,0
B,enterprise,1
C,smb,0
A,smb,0
C,enterprise,0
B,enterprise,0
C,smb,0
C,smb,0
B,enterprise,0
A,enterprise,0
A,smb,0
B,enterprise,0
A,smb,1
C,smb,0
A,smb,0
B,enterprise,0
B,enterprise,0
C,smb,0
C,smb,0
C,enterprise,0
B,smb,0
A,smb,0
B,enterprise,0
B,enterprise,0
A,smb,0
B,enterprise,0
B,enterprise,0
B,enterprise,0
A,smb,0
A,smb,0
A,smb,0
C,enterprise,0
B,enterprise,0
A,smb,0
C,enterprise,0
C,smb,0
B,enterprise,0
C,smb,1
C,smb,0
A,smb,0
A,smb,0
C,smb,0
A,smb,0
B,enterprise,0
C,smb,0
C,smb,0
A,smb,0
C,smb,0
A,smb,0
A,enterprise,0
A,smb,0
C,smb,0
A,enterprise,0
B,enterprise,0
C,smb,0
B,enterprise,0
A,enterprise,0
B,smb,0
C,smb,0
B,enterprise,0
A,smb,0
A,smb,0
C,enterprise,0
C,smb,0
C,smb,0
B,enterprise,0
B,enterprise,0
A,smb,0
B,enterprise,0
A,smb,0
C,smb,0
A,smb,0
A,smb,0
A,enterprise,0
C,smb,0
B,enterprise,0
A,enterprise,0
C,enterprise,0
A,smb,1
A,smb,0
C,smb,0
B,enterprise,0
C,smb,0
B,enterprise,0
C,smb,0
A,enterprise,0
A,smb,0
C,smb,0
B,smb,0
A,smb,0
C,smb,0
B,enterprise,0
A,smb,0
C,smb,0
B,enterprise,0
C,enterprise,0
A,smb,0
B,enterprise,0
B,enterprise,0
B,enterprise,0
B,enterprise,0
C,enterprise,0
A,smb,0
A,smb,0
B,enterprise,0
A,smb,0
A,smb,0
B,enterprise,0
B,enterprise,0
C,smb,0
A,smb,0
B,smb,0
A,smb,1
B,enterprise,0
A,smb,0
A,smb,1
A,smb,0
B,enterprise,0
C,enterprise,1
C,smb,0
C,enterprise,1
C,smb,0
A,smb,0
B,enterprise,0
A,smb,0
B,smb,0
C,smb,0
C,enterprise,1
B,smb,0
C,smb,0
A,smb,0
B,enterprise,0
C,smb,1
C,smb,0
A,smb,1
B,enterprise,0
B,enterprise,0
C,smb,0
A,smb,1
C,smb,1
A,smb,0
C,smb,0
C,enterprise,0
B,enterprise,0
A,smb,0
B,enterprise,0
B,enterprise,0
A,smb,0
B,enterprise,0
C,smb,0
C,smb,1
B,enterprise,0
A,smb,1
C,smb,1
A,smb,0
B,enterprise,0
C,smb,0
C,smb,0
C,smb,0
A,smb,0
A,smb,0
A,smb,0
A,smb,0
C,smb,0
B,enterprise,0
B,enterprise,0
A,smb,0
A,smb,1
B,enterprise,0
C,smb,0
A,smb,1
A,smb,0
B,smb,0
B,enterprise,0
A,smb,0
B,smb,0
C,enterprise,0
C,smb,0
C,smb,0
A,smb,0
C,smb,0
C,smb,1
B,enterprise,0
B,enterprise,0
C,enterprise,0
A,smb,1
A,smb,0
A,smb,1
A,smb,0
C,smb,0
B,enterprise,0
A,smb,0
C,smb,0
A,smb,0
A,smb,0
C,enterprise,0
A,smb,0
A,smb,0
A,smb,0
C,enterprise,0
A,smb,0
A,smb,1
A,smb,0
B,enterprise,0
C,smb,0
A,smb,0
A,smb,1
C,smb,0
A,enterprise,0
B,enterprise,1
C,smb,0
A,enterprise,0
C,smb,0
C,enterprise,0
C,enterprise,0
B,enterprise,0
C,smb,0
B,enterprise,0
A,smb,0
A,smb,0
B,enterprise,0
B,enterprise,0
C,enterprise,0
A,smb,0
A,smb,0
A,smb,0
C,smb,0
B,enterprise,0
C,enterprise,0
B,smb,0
C,smb,0
C,smb,0
A,smb,0
B,enterprise,0
A,smb,0
A,smb,0
C,smb,0
B,smb,1
C,smb,0
C,smb,0
B,enterprise,0
A,smb,0
A,smb,1
A,smb,0
A,smb,0
B,enterprise,0
A,smb,0
B,smb,0
C,smb,0
B,smb,1
B,enterprise,0
B,enterprise,0
A,enterprise,0
A,smb,0
B,enterprise,0
C,smb,0
A,smb,0
A,smb,0
B,enterprise,0
A,smb,0
B,smb,0
C,smb,0
A,smb,0
B,enterprise,1
B,enterprise,0
B,enterprise,0
A,smb,0
A,smb,0
A,smb,0
C,smb,0
B,smb,0
C,smb,1
B,enterprise,0
B,smb,0
B,enterprise,0
A,smb,0
C,smb,1
B,enterprise,0
B,enterprise,0
B,enterprise,1
C,smb,0
A,smb,0
C,smb,0
C,enterprise,0
A,smb,0
A,smb,1
A,smb,0
A,smb,0
B,enterprise,0
C,smb,0
A,smb,1
B,smb,0
B,enterprise,0
C,smb,1
B,enterprise,0
B,enterprise,0
C,smb,0
C,smb,0
B,smb,0
B,enterprise,0
B,enterprise,0
B,enterprise,0
A,enterprise,0
A,smb,0
C,smb,1
B,enterprise,0
C,enterprise,0
C,smb,0
A,smb,0
B,enterprise,0
A,smb,0
B,smb,1
C,smb,1
B,enterprise,0
B,enterprise,0
A,enterprise,0
A,smb,0
B,enterprise,0
A,smb,0
C,smb,0
C,smb,0
C,smb,1
B,enterprise,0
A,smb,0
B,enterprise,0
A,smb,0
A,smb,0
A,enterprise,0
C,smb,0
C,smb,0
B,enterprise,0
B,smb,1
C,smb,1
B,enterprise,0
A,smb,0
C,smb,0
B,enterprise,0
C,smb,0
C,smb,0
C,smb,1
B,enterprise,0
C,enterprise,0
A,smb,1
C,smb,0
A,smb,1
A,smb,0
C,enterprise,0
B,enterprise,0
C,smb,0
C,smb,1
A,smb,0
A,smb,0
A,smb,0
A,smb,0
A,smb,0
C,smb,0
B,enterprise,0
A,enterprise,0
B,enterprise,0
A,smb,0
C,smb,0
B,enterprise,0
B,enterprise,0
B,enterprise,0
B,enterprise,0
C,smb,0
C,smb,0
B,enterprise,0
C,smb,0
C,smb,1
A,smb,0
B,enterprise,0
A,enterprise,0
C,smb,0
B,enterprise,0
C,smb,0
A,smb,0
C,enterprise,0
B,enterprise,0
A,smb,0
B,enterprise,0
A,smb,0
B,enterprise,0
A,smb,0
B,enterprise,0
B,enterprise,0
B,enterprise,0
B,enterprise,0
B,enterprise,0
B,enterprise,0
B,enterprise,0
B,enterprise,0
C,enterprise,0
C,smb,0
C,smb,0
B,enterprise,0
C,smb,0
C,smb,0
B,enterprise,0
C,smb,0
A,smb,0
B,enterprise,0
B,enterprise,0
A,smb,0
B,enterprise,0
B,enterprise,0
B,enterprise,0
A,smb,0
B,enterprise,0
C,enterprise,0
B,enterprise,1
A,smb,1
A,smb,0
B,enterprise,0
C,smb,1
C,smb,0
A,enterprise,0
C,enterprise,0
C,smb,0
A,smb,1
B,enterprise,0
B,enterprise,0
B,enterprise,0
A,smb,0
A,smb,0
A,smb,0
C,smb,0
A,smb,0
A,smb,0
A,smb,0
A,smb,0
C,enterprise,0
B,enterprise,0
B,enterprise,0
B,enterprise,0
A,smb,1
C,smb,0
C,smb,0
C,smb,0
C,smb,0
A,smb,0
B,enterprise,0
B,enterprise,0
C,smb,0
A,smb,0
A,smb,0
B,enterprise,0
B,smb,0
B,enterprise,0
B,enterprise,0
A,smb,1
C,enterprise,0
C,smb,1
A,smb,0
A,enterprise,0
A,smb,0
C,smb,1
C,smb,0
B,enterprise,0
A,smb,0
C,smb,0
A,smb,0
C,smb,0
C,smb,0
A,smb,0
C,enterprise,0
A,smb,0
B,enterprise,1
C,enterprise,0
B,enterprise,0
B,enterprise,0
A,smb,0
A,smb,0
C,smb,0
B,enterprise,0
A,smb,0
C,smb,0
A,smb,0
C,smb,0
A,smb,0
B,enterprise,0
A,smb,0
B,enterprise,0
A,smb,1
A,smb,0
A,smb,0
C,smb,0
A,smb,0
B,enterprise,0
C,smb,1
C,enterprise,0
A,enterprise,0
A,smb,0
B,enterprise,0
B,enterprise,0
B,enterprise,0
C,enterprise,0
B,enterprise,0
A,smb,1
A,smb,0
B,enterprise,0
B,enterprise,0
A,smb,0
B,enterprise,0
A,enterprise,1
C,smb,0
B,enterprise,0
B,enterprise,0
C,smb,0
C,smb,0
A,smb,0
A,smb,0
A,smb,0
B,enterprise,0
B,enterprise,0
A,smb,1
A,smb,0
B,smb,0
C,smb,0
B,enterprise,1
C,enterprise,0
B,enterprise,0
C,smb,0
A,smb,1
A,smb,0
A,smb,0
A,enterprise,0
B,smb,0
B,enterprise,0
C,smb,0
A,smb,0
C,smb,0
B,enterprise,0
A,smb,0
C,smb,0
C,smb,0
C,smb,0
A,smb,0
C,smb,0
A,smb,0
C,smb,0
B,enterprise,0
C,enterprise,0
A,smb,0
C,enterprise,0
A,enterprise,0
A,smb,0
C,smb,0
B,smb,0
A,smb,0
B,enterprise,0
A,smb,0
A,smb,0
C,smb,0
C,smb,0
C,enterprise,0
A,smb,1
C,smb,0
C,smb,0
A,enterprise,1
B,enterprise,1
C,enterprise,0
B,enterprise,0
C,smb,0
C,smb,0
B,smb,1
B,enterprise,0
C,enterprise,0
C,smb,1
B,smb,1
A,smb,0
A,smb,0
A,smb,0
A,enterprise,0
A,smb,0
B,enterprise,0
A,smb,0
C,smb,1
C,enterprise,1
A,enterprise,0
A,smb,0
C,smb,1
B,enterprise,0
C,smb,0
C,smb,0
A,smb,0
C,smb,0
B,smb,1
C,smb,0
A,enterprise,1
C,smb,0
B,enterprise,0
A,smb,1
A,smb,0
A,smb,0
B,smb,0
A,smb,0
A,smb,0
B,enterprise,0
A,enterprise,0
A,smb,1
C,smb,1
A,enterprise,0
B,smb,0
C,smb,0
B,enterprise,0
B,enterprise,0
B,enterprise,0
C,smb,0
B,enterprise,0
B,enterprise,0
B,enterprise,0
A,smb,0
B,enterprise,0
A,smb,1
B,enterprise,0
B,enterprise,0
C,smb,0
C,enterprise,1
B,enterprise,0
A,smb,0
B,enterprise,0
B,enterprise,1
C,enterprise,0
B,enterprise,0
B,enterprise,0
A,smb,0
C,smb,0
A,smb,0
B,enterprise,0
A,smb,1
A,enterprise,0
A,smb,0
A,smb,0
B,smb,0
A,enterprise,0
B,enterprise,0
A,smb,0
A,smb,0
B,enterprise,0
B,enterprise,0
C,enterprise,0
C,smb,0
B,enterprise,0
C,enterprise,0
A,smb,0
A,enterprise,0
B,enterprise,0
A,smb,1
B,enterprise,0
A,smb,0
A,smb,0
B,enterprise,0
A,smb,0
B,enterprise,0
B,enterprise,0
C,smb,0
C,smb,0
A,smb,0
C,smb,1
A,smb,0
C,smb,0
C,smb,0
A,smb,0
A,enterprise,0
A,smb,0
B,smb,1
B,smb,0
B,enterprise,0
A,smb,0
B,enterprise,0
A,smb,0
B,smb,0
C,smb,0
C,enterprise,0
C,smb,0
C,smb,0
B,enterprise,0
B,enterprise,0
A,smb,0
C,enterprise,0
B,enterprise,0
C,smb,1
C,enterprise,0
B,enterprise,0
C,enterprise,1
B,enterprise,0
B,enterprise,0
B,enterprise,0
B,enterprise,0
B,enterprise,0
A,enterprise,0
B,enterprise,0
C,smb,0
B,enterprise,0
A,smb,0
C,enterprise,0
A,enterprise,0
A,smb,0
B,enterprise,0
B,enterprise,0
B,enterprise,1
B,enterprise,0
A,smb,0
B,enterprise,0
C,smb,1
C,smb,0
B,enterprise,0
B,enterprise,0
B,smb,0
B,enterprise,0
C,smb,1
C,smb,0
C,smb,0
A,smb,0
B,enterprise,0
A,smb,0
A,smb,0
A,smb,0
C,smb,0
C,smb,0
B,smb,0
C,smb,1
A,smb,0
B,enterprise,0
A,smb,0
C,smb,0
A,smb,0
A,smb,0
A,smb,0
B,enterprise,0
A,smb,1
C,enterprise,0
A,smb,0
C,smb,0
A,smb,0
A,smb,1
A,enterprise,0
B,enterprise,1
B,smb,1
A,smb,1
C,smb,0
A,smb,0
B,enterprise,0
C,smb,0
C,smb,0
B,enterprise,0
C,smb,0
B,smb,1
A,smb,0
C,smb,1
C,smb,0
A,smb,1
C,smb,0
A,smb,0
C,enterprise,0
A,smb,0
A,enterprise,0
A,smb,1
B,enterprise,0
C,smb,0
A,smb,0
B,enterprise,0
A,smb,1
A,smb,0
A,enterprise,0
C,smb,0
C,smb,0
B,enterprise,0
C,smb,0
A,smb,0
A,smb,0
A,smb,0
A,smb,0
A,smb,0
A,enterprise,0
B,enterprise,0
A,smb,0
C,smb,0
A,smb,0
A,smb,0
A,enterprise,0
A,enterprise,0
C,smb,0
B,enterprise,0
A,smb,0
C,enterprise,0
C,smb,0
A,enterprise,0
A,smb,0
A,enterprise,0
C,smb,0
C,smb,0
B,enterprise,0
A,smb,0
A,smb,0
A,smb,0
C,enterprise,0
B,enterprise,0
C,smb,1
C,smb,0
A,enterprise,0
A,smb,0
B,enterprise,0
C,smb,0
C,smb,0
A,enterprise,0
B,enterprise,0
C,smb,0
A,smb,1
B,enterprise,0
B,enterprise,0
A,smb,0
B,enterprise,1
C,smb,0
A,smb,0
B,enterprise,0
A,smb,0
B,enterprise,0
C,smb,0
B,enterprise,0
C,enterprise,0
C,smb,1
A,smb,0
A,smb,0
C,smb,0
B,enterprise,0
B,enterprise,0
A,smb,0
A,smb,1
B,enterprise,0
A,smb,0
A,smb,0
A,enterprise,0
C,smb,0
A,enterprise,0
B,enterprise,0
C,smb,0
C,smb,0
B,smb,0
B,enterprise,0
C,smb,0
A,smb,0
B,enterprise,0
B,enterprise,0
C,smb,1
A,smb,0
A,smb,0
A,smb,0
B,enterprise,0
B,enterprise,0
C,smb,0
B,enterprise,0
C,smb,0
B,enterprise,0
C,smb,0
B,enterprise,0
C,smb,0
B,enterprise,0
A,smb,0
C,enterprise,0
C,smb,0
C,smb,0
A,smb,0
B,enterprise,0
C,enterprise,0
B,enterprise,0
C,smb,1
C,enterprise,0
B,enterprise,0
A,smb,0
B,smb,0
C,smb,0
A,smb,0
A,smb,0
A,smb,0
A,smb,1
A,enterprise,0
C,smb,0
B,enterprise,1
A,smb,0
C,smb,0
B,enterprise,0
A,smb,0
A,smb,0
C,smb,0
A,smb,0
A,smb,0
C,smb,0
C,smb,0
A,smb,0
C,smb,0
A,smb,0
B,enterprise,0
A,smb,0
B,enterprise,0
A,smb,1
B,enterprise,1
C,smb,0
B,enterprise,0
C,enterprise,0
A,smb,0
B,enterprise,0
B,smb,0
A,smb,0
C,enterprise,1
B,smb,0
C,smb,0
A,smb,0
B,smb,1
C,smb,0
A,smb,0
A,smb,0
C,smb,0
B,enterprise,0
B,enterprise,0
B,smb,0
A,smb,1
A,enterprise,0
A,enterprise,0
C,enterprise,0
A,smb,0
B,enterprise,0
B,enterprise,0
A,smb,1
A,smb,0
C,smb,1
B,enterprise,0
A,smb,1
C,smb,0
A,smb,1
A,smb,0
B,enterprise,0
A,smb,0
B,smb,1
C,enterprise,0
B,enterprise,0
C,smb,0
A,smb,0
B,enterprise,0
B,smb,1
A,smb,0
C,smb,1
C,enterprise,0
C,smb,0
A,smb,0
B,enterprise,0
B,enterprise,0
C,smb,0
C,smb,1
A,smb,0
C,enterprise,0
C,smb,0
A,smb,0
C,enterprise,0
A,smb,0
C,smb,0
A,smb,0
C,smb,0
A,smb,0
A,smb,0
C,smb,1
C,smb,0
C,smb,0
C,smb,1
B,enterprise,0
B,enterprise,0
A,smb,0
A,smb,0
A,smb,0
B,enterprise,0
C,smb,0
B,smb,0
C,smb,0
C,enterprise,0
A,smb,0
B,enterprise,0
C,enterprise,1
C,enterprise,0
A,smb,0
B,enterprise,0
C,smb,0
A,smb,0
B,enterprise,0
C,smb,0
B,smb,0
C,smb,0
C,smb,0
A,smb,0
A,smb,0
B,enterprise,0
B,enterprise,0
A,smb,0
B,enterprise,0
C,enterprise,0
A,smb,1
C,smb,0
C,smb,0
B,smb,0
A,enterprise,0
A,enterprise,0
A,smb,0
B,enterprise,0
C,smb,1
C,smb,0
B,smb,0
B,enterprise,0
A,smb,0
C,smb,0
B,smb,0
B,enterprise,0
C,smb,0
B,enterprise,0
B,enterprise,0
B,enterprise,1
C,enterprise,0
B,enterprise,0
C,enterprise,0
C,smb,0
C,enterprise,0
B,enterprise,0
A,smb,0
C,smb,0
B,enterprise,0
C,smb,0
A,smb,0
A,smb,0
B,enterprise,0
A,enterprise,0
B,enterprise,0
